HDFCLIFE | 2020-03 | opm_mismatch | computed opm=96.12 vs source opm=1141.0
HDFCLIFE | 2021-03 | opm_mismatch | computed opm=98.27 vs source opm=1235.0
HDFCLIFE | 2022-03 | opm_mismatch | computed opm=98.84 vs source opm=778.0
HDFCLIFE | 2023-03 | opm_mismatch | computed opm=99.89 vs source opm=80.0
HDFCLIFE | 2024-03 | opm_mismatch | computed opm=99.48 vs source opm=531.0
HEROMOTOCO | 2014-03 | opm_mismatch | computed opm=85.94 vs source opm=3553.0
HEROMOTOCO | 2015-03 | opm_mismatch | computed opm=87.22 vs source opm=3520.0
HEROMOTOCO | 2016-03 | opm_mismatch | computed opm=84.45 vs source opm=4424.0
HEROMOTOCO | 2017-03 | opm_mismatch | computed opm=83.97 vs source opm=4585.0
HEROMOTOCO | 2018-03 | opm_mismatch | computed opm=83.57 vs source opm=5334.0
HEROMOTOCO | 2019-03 | opm_mismatch | computed opm=85.21 vs source opm=5025.0
HEROMOTOCO | 2020-03 | opm_mismatch | computed opm=86.09 vs source opm=4070.0
HEROMOTOCO | 2021-03 | opm_mismatch | computed opm=86.9 vs source opm=4058.0
HEROMOTOCO | 2022-03 | opm_mismatch | computed opm=88.98 vs source opm=3256.0
HEROMOTOCO | 2023-03 | opm_mismatch | computed opm=88.0 vs source opm=4099.0
HEROMOTOCO | 2024-03 | opm_mismatch | computed opm=86.15 vs source opm=5235.0
HINDALCO | 2013-03 | opm_mismatch | computed opm=90.4 vs source opm=7699.0
HINDALCO | 2014-03 | opm_mismatch | computed opm=90.85 vs source opm=8024.0
HINDALCO | 2015-03 | opm_mismatch | computed opm=91.52 vs source opm=8844.0
HINDALCO | 2015-03 | interest_risk | ICR=-114.72 < 1.5
HINDALCO | 2016-03 | opm_mismatch | computed opm=92.12 vs source opm=7778.0
HINDALCO | 2017-03 | opm_mismatch | computed opm=87.71 vs source opm=12317.0
HINDALCO | 2018-03 | opm_mismatch | computed opm=88.11 vs source opm=13695.0
HINDALCO | 2019-03 | opm_mismatch | computed opm=88.12 vs source opm=15511.0
HINDALCO | 2020-03 | opm_mismatch | computed opm=87.89 vs source opm=14306.0
HINDALCO | 2021-03 | opm_mismatch | computed opm=86.7 vs source opm=17559.0
HINDALCO | 2021-03 | interest_risk | ICR=-115.97 < 1.5
HINDALCO | 2022-03 | opm_mismatch | computed opm=85.47 vs source opm=28347.0
HINDALCO | 2023-03 | opm_mismatch | computed opm=89.85 vs source opm=22666.0
HINDALCO | 2024-03 | opm_mismatch | computed opm=88.95 vs source opm=23872.0
HINDUNILVR | 2013-03 | opm_mismatch | computed opm=84.37 vs source opm=4220.0
HINDUNILVR | 2014-03 | opm_mismatch | computed opm=83.72 vs source opm=4759.0
HINDUNILVR | 2015-03 | opm_mismatch | computed opm=83.07 vs source opm=5412.0
HINDUNILVR | 2016-03 | opm_mismatch | computed opm=81.64 vs source opm=5910.0
HINDUNILVR | 2017-03 | opm_mismatch | computed opm=80.92 vs source opm=6328.0
HINDUNILVR | 2018-03 | opm_mismatch | computed opm=78.9 vs source opm=7499.0
HINDUNILVR | 2019-03 | opm_mismatch | computed opm=77.41 vs source opm=8880.0
